Czy filtracja dolnoprzepustowa pozwala usunąć zakłócenia typu impulsowego?;nie;tak;tak, ale tylko znaczne zakłócenia impulsowe;;;a
Splot obrazu z maską filtru w dziedzinie przestrzeni reprezentowany jest w dziedzinie częstotliwości jako:;iloczyn F-obrazu i F-obrazu filtru;sumę F-obrazu i F-obrazu filtru;żadna z pozostałych;splot F-obrazu i F-obrazu filtru;;a
Operacja otwarcia (zaznacz zdania prawdziwe):;nie zmienia w istotny sposób pola powierzchni dużych figur (dla obrazów binarnych);usuwa z obrazu niewielkie obiekty typu wypustki;to kolejne wykonanie na obrazie najpierw dylatacji, a następnie erozji;bada zgodność otoczenia analizowanych punktów z elementem strukturalnym (maską);;abd
Która z wymienionych z przestrzeni barw (reprezentacja kolorów) stosowana jest w standardzie JPEG:;CMY;HSV;YUV;RGB;;c
Dla segmentacji przez podział i łączenie siebie różnych pod obszarów o zbliżonych właściwościach:;w pierwszym kroku obraz dzielony jest na fragmenty o rozmiarze 8 x 8;w pierwszym kroku obraz dzielony jest na 4 części, jeśli nie jest spełniony predykat Q;w rezultacie algorytmu mogą powstać niepołączone obszary o jednakowych właściwościach;procedura łączenia służy do eliminacji błędów polegających na występowaniu obok;;bcd
Miejsce o największej wrażliwości na światło w siatkówce to:;plamka żółta;zakończenie nerwu wzrokowego;ciało szkliste;soczewka;;a
Dylatację dla obrazów w odcieniach szarości możemy opisać jako filtr(y):;minimalny;maksymalny;górnoprzepustowy;dolnoprzepustowy;;b
Zaznacz poprawne stwierdzenia.;punktowi w przestrzeni kartezjańskiej odpowiada krzywa sinusoidalna w przestrzeni Hougha (rho, theta);punktowi w przestrzeni kartezjańskiej odpowiada prosta w przestrzeni Hougha (rho, theta);prostej w przestrzeni kartezjańskiej odpowiada punkt w przestrzeni Hougha (rho, theta);prostej w przestrzeni kartezjańskiej odpowiada krzywa sinusoidalna w przestrzeni Hougha (rho, theta);;ac
Do układu optycznego oka można zaliczyć:;soczewkę;siatkówkę;rogówkę;tęczówkę;;ac
Czy można zdefiniować pojęcie filtracji medianowej dla obrazów kolorowych?;nie, mediana jest operacją tylko dla obrazów w skali szarości;tak, trzeba tylko odpowiednio zdefiniować medianę i miarę odległości między pikselami (w sensie koloru);tak, ale tylko dla obrazów w przestrzeni HSV;tak, ale tylko dla obrazów w przestrzeni RGB;;b
Zaznacz cechy sztucznego przetwarzania obrazu przewyższające ludzki zmysł wzroku:;szybsze rozpoznawanie obrazów w czasie rzeczywistym;szybka analiza złożonych obrazów;szybszy czas reakcji;dowolny zakres pracy zarówno dla światła widzialnego, jak i podczerwieni i nadfioletu;powtarzalność wyników;acde
Dany jest obraz lekko nieostry. Jakie podejście powinno umożliwić poprawienie jego jakości?;dodanie/odjęcie od obrazu rezultatu filtracji medianowej;dodanie/odjęcie od obrazu rezultatu filtracji maksymalnej;dodanie/odjęcie od obrazu rezultatu filtracji dolnoprzepustowej;dodanie/odjęcie od obrazu rezultatu filtracji górnoprzepustowej;;d
Zaznacz poprawne stwierdzenie (stwierdzenia):;ścienianie to grupa przekształceń morfologicznych;ścienianie może być wywoływane wielokrotnie dla tego samego obrazu;ścienianie można wykonać dla obrazów monochromatycznych;ścienianie to operacja morfologiczna mająca za cel zmienić jasność punktów obrazu;;ab
Dla algorytmu detekcji krawędzi Laplacian of Gaussian (LoG) (zaznacz zdania prawdziwe):;detekcja krawędzi polega na znajdywaniu miejsc przejścia przez zero;detekcja krawędzi polega na znajdywaniu maksimów lokalnych;z przefiltrowanego filtrem Gaussa obrazu obliczana jest druga pochodna;z przefiltrowanego filtrem Gaussa obrazu obliczana jest pierwsza pochodna;;ac
Zaznacz sytuacje, które doprowadzą do konieczności zapamiętania informacji o konflikcie(cyfry oznaczają wstępne etykiety, wyróżniony jest aktualnie rozważany piksel):;0 | 0 | 3 - 2 | 2 | X;2 | 0 | 3- 2 | 2 | X;2 | 0 | 3 - 2 | 0 | X;2 | 0 | 3 - 0 | 0 | X;;ab
Elementem światłoczułym w oku jest:;źrenica;tęczówka;siatkówka;rogówka;;c
Do globalnych metod automatycznego wyznaczania progu binaryzacji można zaliczyć:;metodę Sauvoli;algorytm Yen;wyznaczanie progu na podstawie średniej jasności w otoczeniu;algorytm Otsu;;bd
Które z podanych przekształceń nie są operacjami kontekstowymi?;negacja;filtr morfologiczny;LUT;mediana;;ac
